size,sruntime,pruntime,speedup
49,138831,4565271,0.030
64,81777,930476,0.088
81,501322,552793,0.91
100,115488,888183,0.13
121,127981,1107581,0.12
144,130113,255864,0.51
169,162029,273960,0.59
196,197842,1136405,0.17
256,265284,1144165,0.23
324,381165,706580,0.54
400,510956,874021,0.58
484,680702,839854,0.81
625,1003028,1170584,0.86
784,1120744,3244220,0.35
1024,587677,2300526,0.26
1296,726611,5008167,0.15
1681,1057480,6996104,0.15
2116,1496353,8829718,0.17
2704,2140169,5708448,0.37
3481,3084508,3523213,0.88
4489,687857,3054091,0.23
5776,970167,6055883,0.16
7396,1334862,1176121,1.1
9604,3267189,944430,3.5
12544,2661614,2590448,1.0
16384,6132412,1888124,3.2
21316,5800716,2329689,2.5
27556,9790611,3005445,3.3
35721,13235673,4442690,3.0
