size,sruntime,pruntime,speedup
49,178095,3384442,0.053
64,83064,1114260,0.075
81,230277,940518,0.24
100,86334,906611,0.095
121,151402,819007,0.18
144,209749,268339,0.78
169,215576,503445,0.43
196,169433,878128,0.19
256,399025,1050699,0.38
324,492149,1025416,0.48
400,487575,483569,1.0
484,639243,463006,1.4
625,1023396,637206,1.6
784,1295881,2861614,0.45
1024,683750,6250171,0.11
1296,949213,3005317,0.32
1681,1322066,4168530,0.32
2116,1521716,7834138,0.19
2704,2176766,3389898,0.64
3481,2396341,2862918,0.84
4489,709550,2061416,0.34
5776,975363,1538698,0.63
7396,1309551,935771,1.4
9604,1801157,1463171,1.2
12544,2673360,1468093,1.8
16384,5563113,2413118,2.3
21316,5717640,3812926,1.5
27556,8284777,5536365,1.5
35721,13062381,7281700,1.8
