size,sruntime,pruntime,speedup
49,147381,2625305,0.056
64,45785,648053,0.071
81,230875,865021,0.27
100,74345,316692,0.23
121,155094,920794,0.17
144,216126,813952,0.27
169,140505,370865,0.38
196,169474,406932,0.42
256,258372,981432,0.26
324,368723,496939,0.74
400,508521,560968,0.91
484,664157,640662,1.0
625,973249,708840,1.4
784,909076,743756,1.2
1024,1223759,1150492,1.1
1296,1547891,10212287,0.15
1681,2187816,4464313,0.49
2116,2760423,6466771,0.43
2704,3388198,6087266,0.56
3481,5764012,3505330,1.6
4489,2748314,1655679,1.7
5776,957168,1802118,0.53
7396,1386616,1095931,1.3
9604,2221403,1055045,2.1
12544,2728433,1381411,2.0
16384,5979443,2169783,2.8
21316,6225971,3994178,1.6
27556,8878589,6277560,1.4
35721,13626960,6698205,2.0
