size,runtime[nanos]
49,2733143
64,513865
81,759196
100,1105035
121,1843364
144,285304
169,693337
196,2341057
256,1154148
324,472440
400,949778
484,1031171
625,880824
784,5410015
1024,1593574
1296,4965176
1681,7371041
2116,8416058
2704,4865925
3481,3960269
4489,753093
5776,662098
7396,1547300
9604,1412934
12544,1710589
16384,2418190
21316,5007760
27556,5720519
35721,6680404
