size,sruntime,pruntime,speedup
49,162617,2825425,0.058
64,60514,884073,0.068
81,238776,1520610,0.16
100,75478,679547,0.11
121,124338,1017368,0.12
144,133722,995610,0.13
169,186290,1089481,0.17
196,169793,501304,0.34
256,251981,1690014,0.15
324,379788,617735,0.61
400,485444,684966,0.71
484,670211,1673255,0.40
625,973928,1193836,0.82
784,942316,1580382,0.60
1024,558942,2344333,0.24
1296,731330,6531340,0.11
1681,1047854,11579964,0.090
2116,1461279,4878538,0.30
2704,2076701,4417370,0.47
3481,3165859,1424150,2.2
4489,753026,1724543,0.44
5776,984640,2140851,0.46
7396,1359304,1195281,1.1
9604,1829760,1173678,1.6
12544,2568099,2083202,1.2
16384,4156122,2062761,2.0
21316,6776956,4659217,1.5
27556,8568480,4757683,1.8
35721,12978786,7861505,1.7
