size,sruntime,pruntime,speedup
49,158120,2550646,0.062
64,45180,460985,0.098
81,55040,736447,0.075
100,71741,997633,0.072
121,134644,758415,0.18
144,125468,559356,0.22
169,154673,1831669,0.084
196,171825,1980400,0.087
256,255375,656965,0.39
324,399634,815936,0.49
400,494919,609184,0.81
484,652528,644421,1.0
625,1013977,1193217,0.85
784,927567,1283136,0.72
1024,576643,1944570,0.30
1296,720582,5324337,0.14
1681,1045383,7441391,0.14
2116,1440613,8603601,0.17
2704,2105556,4835589,0.44
3481,3174402,2095706,1.5
4489,787517,1121420,0.70
5776,975517,1050529,0.93
7396,1353895,605201,2.2
9604,1866397,794603,2.3
12544,2660473,2693344,0.99
16384,4151415,3656298,1.1
21316,5639814,4629433,1.2
27556,8809228,6778605,1.3
35721,13198465,6488307,2.0
