size,sruntime,pruntime,speedup
49,153410,3260426,0.047
64,80171,763465,0.11
81,103583,494278,0.21
100,117445,377928,0.31
121,224148,9209992,0.024
144,201554,1249362,0.16
169,221625,1213105,0.18
196,164323,1418294,0.12
256,400769,685908,0.58
324,549170,10060357,0.055
400,483078,1003278,0.48
484,636422,1105572,0.58
625,976497,1615021,0.60
784,1238737,1713700,0.72
1024,674457,3773134,0.18
1296,896043,9518357,0.094
1681,1022144,5434454,0.19
2116,1737563,6661713,0.26
2704,2909823,8871376,0.33
3481,618670,722989,0.86
4489,678865,810597,0.84
5776,930607,3219336,0.29
7396,1349752,1066267,1.3
9604,1677853,1350201,1.2
12544,2299319,1866146,1.2
16384,3549926,1714335,2.1
21316,6741653,6744402,1.0
27556,7809778,10376211,0.75
35721,11261196,10668043,1.1
