size,sruntime,pruntime,speedup
49,167610,2261092,0.074
64,55357,189769,0.29
81,65989,122251,0.54
100,74968,132439,0.57
121,117969,131028,0.90
144,131672,151968,0.87
169,155987,148893,1.0
196,168512,214905,0.78
256,249997,218010,1.1
324,392988,242133,1.6
400,484711,341711,1.4
484,640756,343525,1.9
625,960588,584668,1.6
784,928790,805932,1.2
1024,573339,844077,0.68
1296,720434,1871641,0.38
1681,1050521,7304979,0.14
2116,1439863,7463015,0.19
2704,2080366,8907373,0.23
3481,1049293,4113532,0.26
4489,677130,315096,2.1
5776,929726,690340,1.3
7396,1283467,1575234,0.81
9604,1564771,560660,2.8
12544,2294140,1455262,1.6
16384,3581712,1758393,2.0
21316,4969893,2383462,2.1
27556,7245101,4766429,1.5
35721,11632303,12912243,0.90
