size,sruntime,pruntime,speedup
49,150555,3842950,0.039
64,59513,882163,0.067
81,73581,914781,0.080
100,74278,2163935,0.034
121,192546,800204,0.24
144,232565,847436,0.27
169,170551,868331,0.20
196,169719,1053701,0.16
256,250801,875649,0.29
324,374155,1031755,0.36
400,486293,3164003,0.15
484,639141,5273342,0.12
625,1035221,1861639,0.56
784,922338,1878450,0.49
1024,684126,2845803,0.24
1296,1353102,3485258,0.39
1681,1967747,5933529,0.33
2116,2754884,13781349,0.20
2704,3283262,753127,4.4
3481,514380,719152,0.72
4489,688369,1641763,0.42
5776,1019118,1089042,0.94
7396,1320358,3454515,0.38
9604,1762913,1602969,1.1
12544,2361490,2534638,0.93
16384,4998186,4456832,1.1
21316,5907131,4259610,1.4
27556,7522632,5179824,1.5
35721,11826504,7144936,1.7
