size,sruntime,pruntime,speedup
49,134928,2534068,0.053
64,44375,397269,0.11
81,66187,715198,0.093
100,71568,698466,0.10
121,115175,714327,0.16
144,124090,585410,0.21
169,153128,445288,0.34
196,168286,1169869,0.14
256,258329,625230,0.41
324,372250,1695787,0.22
400,485528,643753,0.75
484,640000,1481784,0.43
625,971851,1005410,0.97
784,924940,1429253,0.65
1024,540131,2114495,0.26
1296,716582,7998273,0.090
1681,1045313,7750873,0.13
2116,1443518,8098223,0.18
2704,2272126,5567642,0.41
3481,947339,2710538,0.35
4489,678414,1224456,0.55
5776,927559,2844946,0.33
7396,1284223,1642699,0.78
9604,1657631,1582321,1.0
12544,2554986,1427194,1.8
16384,3574291,3367725,1.1
21316,4929463,3375292,1.5
27556,7524519,5422400,1.4
35721,12278224,7135529,1.7
