size,sruntime,pruntime,speedup
49,143153,739839,0.19
64,53690,254415,0.21
81,165898,205749,0.81
100,71754,206021,0.35
121,114271,249985,0.46
144,133812,178612,0.75
169,161075,245606,0.66
196,171329,213827,0.80
256,253220,836712,0.30
324,397880,1610428,0.25
400,492804,694470,0.71
484,641713,668058,0.96
625,1019206,942889,1.1
784,905926,1068330,0.85
1024,592595,1451668,0.41
1296,715087,4660183,0.15
1681,1053855,7371262,0.14
2116,1440858,9280688,0.16
2704,2096413,5592646,0.37
3481,1039235,7111589,0.15
4489,674712,687346,0.98
5776,941821,1907934,0.49
7396,1284132,1901211,0.68
9604,1560687,3101559,0.50
12544,2297045,3490444,0.66
16384,3590681,3764703,0.95
21316,5054273,4589101,1.1
27556,8085811,3965515,2.0
35721,11385866,8728659,1.3
