size,sruntime,pruntime,speedup
49,168153,2481123,0.068
64,53508,542879,0.099
81,74964,1012184,0.074
100,71993,614685,0.12
121,115673,477535,0.24
144,124795,493980,0.25
169,155341,565578,0.27
196,168528,590913,0.29
256,250454,412461,0.61
324,375459,470456,0.80
400,484031,564895,0.86
484,639987,1373854,0.47
625,973570,1132899,0.86
784,908534,1485205,0.61
1024,563013,3888636,0.14
1296,702400,8853670,0.079
1681,1024363,6675389,0.15
2116,1460705,6300263,0.23
2704,2078149,5524634,0.38
3481,1687390,2764909,0.61
4489,687167,2909587,0.24
5776,928286,623652,1.5
7396,1284274,1276668,1.0
9604,1551247,2848994,0.54
12544,2289101,1549470,1.5
16384,3581779,2868891,1.2
21316,4884496,4078231,1.2
27556,7243706,5410067,1.3
35721,12864531,11188492,1.1
