size,sruntime,pruntime,speedup
49,141624,2909206,0.049
64,54250,370178,0.15
81,67444,318558,0.21
100,85362,494041,0.17
121,127991,920176,0.14
144,147461,924021,0.16
169,149143,1067821,0.14
196,168775,1922381,0.088
256,256241,1643954,0.16
324,369017,1267728,0.29
400,503675,2642483,0.19
484,641991,1003976,0.64
625,1543887,3768510,0.41
784,985908,1962063,0.50
1024,543970,2091348,0.26
1296,707992,4806793,0.15
1681,1042829,6294653,0.17
2116,1445961,10370757,0.14
2704,2106514,4811863,0.44
3481,1538508,1710339,0.90
4489,697864,1273777,0.55
5776,973924,3214502,0.30
7396,1310474,2550183,0.51
9604,1562310,3370919,0.46
12544,2288764,1918299,1.2
16384,5042291,1729964,2.9
21316,4978874,4136692,1.2
27556,10187523,5053076,2.0
35721,11293924,8280655,1.4
