size,sruntime,pruntime,speedup
49,144203,751944,0.19
64,55900,196958,0.28
81,56341,225260,0.25
100,75160,246439,0.30
121,134584,234701,0.57
144,140327,212813,0.66
169,172391,553845,0.31
196,168009,269918,0.62
256,251291,842447,0.30
324,371914,1533115,0.24
400,484257,2714994,0.18
484,638596,1948484,0.33
625,984284,1845401,0.53
784,936070,1746445,0.54
1024,558794,2417367,0.23
1296,714489,5586387,0.13
1681,1043373,4301076,0.24
2116,1460543,9155370,0.16
2704,2106088,3449937,0.61
3481,3147087,3589919,0.88
4489,2528631,504683,5.0
5776,930420,650267,1.4
7396,1295424,1211978,1.1
9604,1810803,1013660,1.8
12544,2317698,2133429,1.1
16384,3560400,2153768,1.7
21316,4893580,3711002,1.3
27556,10414624,5301538,2.0
35721,11595896,13170386,0.88
