size,sruntime,pruntime,speedup
49,143632,2615517,0.055
64,44585,401140,0.11
81,120863,560230,0.22
100,71990,324363,0.22
121,114020,479729,0.24
144,134240,669090,0.20
169,161773,355833,0.45
196,168629,1048427,0.16
256,249913,1233522,0.20
324,393256,355022,1.1
400,492673,444215,1.1
484,687936,498487,1.4
625,988449,749392,1.3
784,968816,1237664,0.78
1024,574061,3430588,0.17
1296,721534,10402900,0.069
1681,1044371,7506451,0.14
2116,1440163,8707872,0.17
2704,2105038,3978609,0.53
3481,1160148,3874617,0.30
4489,699580,1277075,0.55
5776,929897,665675,1.4
7396,1312576,826052,1.6
9604,1552018,1570162,0.99
12544,2297824,4117033,0.56
16384,3580370,2003285,1.8
21316,4896610,2779465,1.8
27556,7164042,4576342,1.6
35721,11401482,5678051,2.0
