size,sruntime,pruntime,speedup
49,149890,3297642,0.045
64,44657,324615,0.14
81,75441,709734,0.11
100,83641,668173,0.13
121,106012,713481,0.15
144,155401,623077,0.25
169,165028,1622159,0.10
196,167892,1855331,0.090
256,251080,721115,0.35
324,394664,1611719,0.24
400,484742,1549001,0.31
484,734344,3272056,0.22
625,989308,1362641,0.73
784,949629,1519718,0.62
1024,1100532,2195515,0.50
1296,721360,10111435,0.071
1681,1043452,6575801,0.16
2116,1441108,9498717,0.15
2704,2078366,6647882,0.31
3481,1150998,907699,1.3
4489,674787,631443,1.1
5776,930871,1038016,0.90
7396,1285602,2884961,0.45
9604,1566706,1621220,0.97
12544,2317655,2169919,1.1
16384,3673712,2989412,1.2
21316,5205821,7710681,0.68
27556,8206255,8944990,0.92
35721,11274209,9119955,1.2
