size,sruntime,pruntime,speedup
49,170406,3022714,0.056
64,76085,392761,0.19
81,103244,724020,0.14
100,75242,248141,0.30
121,154455,1488908,0.10
144,206256,1210934,0.17
169,144700,1000823,0.14
196,201996,937963,0.22
256,258759,1733384,0.15
324,568447,508764,1.1
400,667047,852103,0.78
484,639543,2201579,0.29
625,971998,2662215,0.37
784,870478,4142408,0.21
1024,594017,2336330,0.25
1296,722726,3944224,0.18
1681,1044951,10259953,0.10
2116,1447244,3539511,0.41
2704,2109614,2776504,0.76
3481,1859685,1533988,1.2
4489,1310543,603426,2.2
5776,1770107,553173,3.2
7396,1791169,1131476,1.6
9604,1527604,1347432,1.1
12544,2301881,1407923,1.6
16384,3566987,1587082,2.2
21316,5099830,4331091,1.2
27556,7765489,6941257,1.1
35721,11806660,12077353,0.98
