size,sruntime,pruntime,speedup
49,176895,2541476,0.07
64,53543,830562,0.064
81,189282,632704,0.3
100,81419,337838,0.24
121,126881,537447,0.24
144,124622,813377,0.15
169,159978,374972,0.43
196,168184,640351,0.26
256,251031,597503,0.42
324,365898,392088,0.93
400,488923,444925,1.1
484,640574,752619,0.85
625,959660,767748,1.2
784,932786,1226098,0.76
1024,1090396,2249790,0.48
1296,721115,5320976,0.14
1681,1042988,6872595,0.15
2116,1439844,8677777,0.17
2704,2074204,7911694,0.26
3481,1057581,3292330,0.32
4489,674747,1227720,0.55
5776,929651,615352,1.5
7396,1284064,742803,1.7
9604,1601647,1029785,1.6
12544,2295262,1269056,1.8
16384,3541644,1838086,1.9
21316,4910452,2494599,2
27556,7315597,3890066,1.9
35721,11569214,7867652,1.5
