size,sruntime,pruntime,speedup
49,181691,2964177,0.061
64,64622,552222,0.12
81,65652,295419,0.22
100,75413,272902,0.28
121,117165,709603,0.17
144,145699,461581,0.32
169,157064,1129616,0.14
196,168604,574416,0.29
256,250981,1512517,0.17
324,365856,548436,0.67
400,485799,1094903,0.44
484,639185,9546600,0.067
625,962479,1425291,0.68
784,905935,1848244,0.49
1024,599229,6754251,0.089
1296,723397,3343297,0.22
1681,1051389,6603519,0.16
2116,1443305,9248027,0.16
2704,2084346,706809,2.9
3481,1034324,542370,1.9
4489,676673,854355,0.79
5776,941457,582873,1.6
7396,1285231,716098,1.8
9604,1561289,872327,1.8
12544,2319396,2328433,1.0
16384,3586078,2368937,1.5
21316,5043737,3266022,1.5
27556,7413722,4175497,1.8
35721,11547167,9479483,1.2
