size,runtime[nanos]
49,166059
64,44529
81,54847
100,69284
121,123476
144,124339
169,159860
196,162732
256,260850
324,373876
400,483985
484,650022
625,975778
784,909994
1024,561771
1296,717106
1681,1042793
2116,1449847
2704,2083018
3481,1033369
4489,686438
5776,927621
7396,1323926
9604,1761690
12544,2306478
16384,3596243
21316,4911856
27556,7331084
35721,11235646
