size,sruntime,pruntime,speedup
49,132411,3181182,0.042
64,45956,846001,0.054
81,166191,703046,0.24
100,71644,1244802,0.058
121,115397,922884,0.13
144,124288,1587481,0.078
169,161441,2545684,0.063
196,168728,1077499,0.16
256,251137,2123119,0.12
324,365491,1411463,0.26
400,483990,1401775,0.35
484,654692,4355774,0.15
625,980019,1338667,0.73
784,921444,1459436,0.63
1024,564379,3037025,0.19
1296,722366,9140584,0.079
1681,1046825,6355692,0.16
2116,1439913,7558740,0.19
2704,2124663,6096377,0.35
3481,1116551,3034762,0.37
4489,663619,537586,1.2
5776,927547,543357,1.7
7396,1277089,778291,1.6
9604,1553269,952391,1.6
12544,2701900,1318408,2.0
16384,3763350,1593511,2.4
21316,5083043,2423098,2.1
27556,7389703,4127349,1.8
35721,12380209,5435515,2.3
