size,sruntime,pruntime,speedup
49,127269,3399409,0.037
64,44882,640121,0.070
81,228652,646151,0.35
100,71768,1004356,0.071
121,116117,1617332,0.072
144,125403,885218,0.14
169,160649,1482787,0.11
196,168087,1131765,0.15
256,257734,2357137,0.11
324,364975,2578141,0.14
400,503248,2032819,0.25
484,638942,1775549,0.36
625,976424,4161655,0.23
784,855633,1896068,0.45
1024,516188,2456135,0.21
1296,715301,5010561,0.14
1681,1060092,6434919,0.16
2116,1483089,8156252,0.18
2704,2146723,4519918,0.47
3481,1728846,5492900,0.31
4489,699014,1097990,0.64
5776,928527,690379,1.3
7396,1298083,1062746,1.2
9604,1559301,1115001,1.4
12544,2306148,1870078,1.2
16384,3679092,1779543,2.1
21316,5079752,2366039,2.1
27556,8699254,7695185,1.1
35721,11697156,5127781,2.3
