size,sruntime,pruntime,speedup
49,142925,791529,0.18
64,54467,223540,0.24
81,55085,235955,0.23
100,73206,221652,0.33
121,116955,373620,0.31
144,350482,782979,0.45
169,620454,820034,0.76
196,168450,243866,0.69
256,249990,908757,0.28
324,392004,1178413,0.33
400,485825,3327695,0.15
484,639755,2296682,0.28
625,957887,1410767,0.68
784,954838,2005413,0.48
1024,564264,2339977,0.24
1296,720458,5294003,0.14
1681,1058541,7979222,0.13
2116,1438956,9562235,0.15
2704,2077211,6452761,0.32
3481,1056221,4857598,0.22
4489,674121,1088347,0.62
5776,957469,1330783,0.72
7396,1284341,2104301,0.61
9604,1563507,1887896,0.83
12544,2310114,3227139,0.72
16384,3577244,3848491,0.93
21316,5111964,7218756,0.71
27556,11064554,7391514,1.5
35721,11682628,10989546,1.1
