size,sruntime,pruntime,speedup
49,175322,2536796,0.069
64,44482,439468,0.10
81,117105,818843,0.14
100,71325,920104,0.078
121,115731,1144043,0.10
144,125168,361945,0.35
169,161008,1826543,0.088
196,171438,947033,0.18
256,254329,3929445,0.065
324,399842,696996,0.57
400,497992,1492327,0.33
484,652517,1853056,0.35
625,1003290,1275415,0.79
784,944452,1473061,0.64
1024,571887,1918783,0.30
1296,730270,4704574,0.16
1681,1044073,5881400,0.18
2116,1439477,7639037,0.19
2704,2083183,11181235,0.19
3481,1043787,1119308,0.93
4489,681432,1105760,0.62
5776,929327,2223284,0.42
7396,1305806,1440405,0.91
9604,1551065,1415580,1.1
12544,2299159,2767514,0.83
16384,3578364,4432117,0.81
21316,5063032,8056717,0.63
27556,8839625,6978858,1.3
35721,11691854,8186638,1.4
