size,sruntime,pruntime,speedup
49,165261,2596917,0.064
64,46039,393548,0.12
81,55153,791130,0.070
100,73560,388929,0.19
121,126561,401633,0.32
144,137978,829120,0.17
169,171358,2384478,0.072
196,169476,1495891,0.11
256,250918,1436808,0.17
324,394674,735576,0.54
400,483914,2884612,0.17
484,697614,1683527,0.41
625,981171,1216555,0.81
784,972567,1408015,0.69
1024,577274,1864001,0.31
1296,717023,4310509,0.17
1681,1033328,7151064,0.14
2116,1441620,11676849,0.12
2704,2080477,3473528,0.60
3481,1568808,3980369,0.39
4489,676622,682048,0.99
5776,959540,870174,1.1
7396,1290132,871807,1.5
9604,1524676,1036987,1.5
12544,2331528,1722439,1.4
16384,4120005,1925331,2.1
21316,5030466,2565679,2.0
27556,8752730,5809737,1.5
35721,11789169,8142550,1.4
