size,sruntime,pruntime,speedup
49,165806,713846,0.23
64,53954,214529,0.25
81,117259,206092,0.57
100,72100,228507,0.32
121,115248,310704,0.37
144,394923,253751,1.6
169,651656,302911,2.2
196,504883,361816,1.4
256,252079,902801,0.28
324,394356,424280,0.93
400,508167,509803,1.0
484,652779,614687,1.1
625,960767,1035777,0.93
784,894225,1014106,0.88
1024,563139,1570299,0.36
1296,718708,4268515,0.17
1681,1043648,6042463,0.17
2116,1438917,10184074,0.14
2704,2076599,5443423,0.38
3481,1161877,2727840,0.43
4489,686891,736422,0.93
5776,928033,706601,1.3
7396,1283343,923760,1.4
9604,1550325,1186070,1.3
12544,2341536,2364497,0.99
16384,3608533,2856411,1.3
21316,4964396,5477359,0.91
27556,9560589,9728510,0.98
35721,11361722,11536453,0.98
