size,sruntime,pruntime,speedup
49,143042,2537431,0.056
64,53634,427237,0.13
81,183331,550275,0.33
100,72420,348730,0.21
121,124898,605084,0.21
144,135262,630894,0.21
169,165336,378477,0.44
196,170118,538483,0.32
256,251822,400057,0.63
324,394291,979434,0.40
400,486018,454603,1.1
484,641706,566702,1.1
625,971758,743169,1.3
784,956078,851522,1.1
1024,583256,2300423,0.25
1296,716347,10166264,0.070
1681,1046453,7171620,0.15
2116,1446627,8950757,0.16
2704,2075642,6978444,0.30
3481,1048849,486488,2.2
4489,685884,464445,1.5
5776,929334,459613,2.0
7396,1291898,1201541,1.1
9604,1571140,1873531,0.84
12544,2293627,1336905,1.7
16384,3609330,2102123,1.7
21316,5065298,2944971,1.7
27556,7270443,5921641,1.2
35721,11711076,7783807,1.5
