size,sruntime,pruntime,speedup
49,133607,2896045,0.046
64,44293,687246,0.064
81,55154,416481,0.13
100,71531,247704,0.29
121,116559,823703,0.14
144,125257,787787,0.16
169,148377,939527,0.16
196,182645,581589,0.31
256,260553,1254623,0.21
324,368733,521414,0.71
400,508242,1492682,0.34
484,641278,994700,0.64
625,970813,4688613,0.21
784,855460,7642537,0.11
1024,549112,1654880,0.33
1296,715133,3792871,0.19
1681,1047149,5724185,0.18
2116,1440514,8431548,0.17
2704,2076459,3018022,0.69
3481,1037441,2296413,0.45
4489,677299,5034192,0.13
5776,938703,805321,1.2
7396,1271644,1263717,1.0
9604,1557685,2799048,0.56
12544,2306141,1668425,1.4
16384,3591299,2527750,1.4
21316,4950745,3247799,1.5
27556,7176642,3689957,1.9
35721,11547655,8877509,1.3
