size,sruntime,pruntime,speedup
49,165924,3091125,0.054
64,55519,600723,0.092
81,97286,1253208,0.078
100,75613,1553437,0.049
121,128052,3139531,0.041
144,139820,3862639,0.036
169,172391,698526,0.25
196,169190,803804,0.21
256,251274,865084,0.29
324,395827,1348965,0.29
400,491233,988968,0.50
484,657683,1017154,0.65
625,989394,1257320,0.79
784,896583,4031793,0.22
1024,565992,10133915,0.056
1296,729612,5163662,0.14
1681,1540881,3797824,0.41
2116,1439607,2918917,0.49
2704,2194490,3282568,0.67
3481,3121262,5290135,0.59
4489,2766024,5339856,0.52
5776,917852,7675323,0.12
7396,1319348,10434545,0.13
9604,1821464,6914214,0.26
12544,2319839,3660968,0.63
16384,3650807,8930443,0.41
21316,5152236,8070549,0.64
27556,8427185,8812258,0.96
35721,11894824,13721267,0.87
