size,sruntime,pruntime,speedup
49,142478,2561029,0.056
64,56100,766064,0.073
81,56283,593221,0.095
100,75254,337579,0.22
121,118235,443751,0.27
144,130856,773580,0.17
169,158688,327432,0.48
196,184077,328334,0.56
256,250685,502121,0.50
324,393408,364197,1.1
400,482589,407641,1.2
484,639457,504223,1.3
625,975881,697563,1.4
784,927957,1561085,0.59
1024,561973,1422893,0.39
1296,720664,7760827,0.093
1681,1069227,7897502,0.14
2116,1450714,10206525,0.14
2704,2082110,2934229,0.71
3481,1058736,1855352,0.57
4489,676792,721234,0.94
5776,936120,544317,1.7
7396,1286655,634236,2.0
9604,1561445,740512,2.1
12544,2289287,1282444,1.8
16384,3614022,1791111,2.0
21316,5051194,3634590,1.4
27556,7307108,6920679,1.1
35721,11595232,9689195,1.2
