size,sruntime,pruntime,speedup
49,147789,2989066,0.049
64,55787,341478,0.16
81,67009,773860,0.087
100,75375,2014028,0.037
121,217588,1960737,0.11
144,216351,2205606,0.098
169,136113,2978724,0.046
196,168710,1247155,0.14
256,249257,1582580,0.16
324,373115,737360,0.51
400,505416,3247641,0.16
484,659819,1371028,0.48
625,1506490,1326950,1.1
784,960562,1664962,0.58
1024,593034,8805312,0.067
1296,724060,5831312,0.12
1681,1043343,6554809,0.16
2116,1494763,16344259,0.091
2704,2073111,12249025,0.17
3481,1151959,3916704,0.29
4489,677185,767767,0.88
5776,940806,902789,1.0
7396,1285901,956593,1.3
9604,1570592,1386293,1.1
12544,2305471,1906601,1.2
16384,5056385,2524393,2.0
21316,4911087,3090783,1.6
27556,11895605,5586329,2.1
35721,12603159,12415242,1.0
