size,sruntime,pruntime,speedup
49,165913,2988817,0.056
64,46597,1073217,0.043
81,95538,1431169,0.067
100,75172,1516411,0.050
121,118467,1243148,0.095
144,131384,4068329,0.032
169,162175,991142,0.16
196,168498,711265,0.24
256,251031,902746,0.28
324,393863,930017,0.42
400,504147,1149432,0.44
484,639644,2209435,0.29
625,954911,2040051,0.47
784,935633,2567159,0.36
1024,560790,3241677,0.17
1296,718778,15794148,0.046
1681,1042688,7119784,0.15
2116,1439249,3492544,0.41
2704,2087779,900878,2.3
3481,1161777,3074439,0.38
4489,682930,1309945,0.52
5776,928109,1245778,0.75
7396,1284269,2565366,0.50
9604,1550283,2680014,0.58
12544,2370157,3686992,0.64
16384,3608254,6596519,0.55
21316,5024787,6275252,0.80
27556,7323694,5619191,1.3
35721,11757918,7092460,1.7
