size,sruntime,pruntime,speedup
49,167506,3166398,0.053
64,53383,461821,0.12
81,55205,663728,0.083
100,73868,317582,0.23
121,109378,812478,0.13
144,127425,910194,0.14
169,167245,1611479,0.10
196,168984,933806,0.18
256,259702,452989,0.57
324,370807,738209,0.50
400,501237,3774090,0.13
484,643535,2333299,0.28
625,980188,884677,1.1
784,909087,1151937,0.79
1024,571065,1758783,0.32
1296,715612,9659090,0.074
1681,1044687,5190039,0.20
2116,1453308,7290827,0.20
2704,2073590,5510155,0.38
3481,1048715,1436432,0.73
4489,678634,679236,1.0
5776,968347,927648,1.0
7396,1315256,1045325,1.3
9604,1648687,1247684,1.3
12544,2299192,2550605,0.90
16384,3591344,2490219,1.4
21316,5123741,4474309,1.1
27556,7516817,4190064,1.8
35721,11727926,7385006,1.6
