size,sruntime,pruntime,speedup
49,170756,2862103,0.060
64,55320,348707,0.16
81,176494,452163,0.39
100,84055,538536,0.16
121,127786,1200977,0.11
144,156883,889393,0.18
169,170819,985477,0.17
196,168519,1015919,0.17
256,249367,1549554,0.16
324,371888,1813635,0.21
400,485752,1295563,0.37
484,639458,4834958,0.13
625,1000653,1546370,0.65
784,963702,2351138,0.41
1024,558565,8343209,0.067
1296,713900,3899082,0.18
1681,1043592,6068534,0.17
2116,1442674,8511941,0.17
2704,2072836,4188442,0.49
3481,1032555,2818037,0.37
4489,675855,448557,1.5
5776,928534,518632,1.8
7396,1283670,790532,1.6
9604,1548925,1215529,1.3
12544,2348789,1621583,1.4
16384,3733013,2334287,1.6
21316,5179927,2486340,2.1
27556,8455573,3964643,2.1
35721,12461279,5841452,2.1
