size,sruntime,pruntime,speedup
49,167011,2528031,0.066
64,53723,796383,0.067
81,174043,813316,0.21
100,71404,514627,0.14
121,114455,727358,0.16
144,124222,296607,0.42
169,161889,1051164,0.15
196,171649,727998,0.24
256,267696,592592,0.45
324,399320,2158796,0.18
400,497377,1470493,0.34
484,652427,988079,0.66
625,1016623,1220530,0.83
784,928038,2579353,0.36
1024,602333,2677403,0.22
1296,714755,11610737,0.062
1681,1043386,8157349,0.13
2116,1673908,10033134,0.17
2704,2092441,3448839,0.61
3481,1035985,1443657,0.72
4489,677416,743849,0.91
5776,936112,536599,1.7
7396,1285305,594783,2.2
9604,1567338,776936,2.0
12544,2502392,1099129,2.3
16384,3648864,4018095,0.91
21316,5044706,3692286,1.4
27556,7531038,5731735,1.3
35721,12307640,7163471,1.7
