size,sruntime,pruntime,speedup
49,173929,3082871,0.056
64,48568,610694,0.080
81,66950,487906,0.14
100,86721,776232,0.11
121,153902,935008,0.16
144,201773,973027,0.21
169,136117,1561121,0.087
196,169651,1145629,0.15
256,251617,2733419,0.092
324,376567,2111679,0.18
400,492866,704458,0.70
484,646960,7719778,0.084
625,1499392,1104132,1.4
784,956400,6133595,0.16
1024,538298,1940502,0.28
1296,717277,4760777,0.15
1681,1041611,6277778,0.17
2116,1443731,8033044,0.18
2704,2076079,5217076,0.40
3481,1050091,6081115,0.17
4489,677377,655516,1.0
5776,933051,817492,1.1
7396,1299877,1265771,1.0
9604,1553104,1533082,1.0
12544,2355407,1841979,1.3
16384,5050992,2537881,2.0
21316,4995598,3622387,1.4
27556,8206215,7618254,1.1
35721,11333874,11053962,1.0
