size,sruntime,pruntime,speedup
49,572608,26817057,0.021
64,75348,2015015,0.037
81,91035,6056451,0.015
100,121627,7629259,0.016
121,175583,2568925,0.068
144,365080,2299574,0.16
169,232424,2071386,0.11
196,293466,1987642,0.15
256,427859,1426275,0.30
324,603547,2706022,0.22
400,830092,4102746,0.20
484,1086913,2486572,0.44
625,1603889,7538692,0.21
784,942348,8408306,0.11
1024,849738,19083420,0.045
1296,713672,5616723,0.13
1681,1056113,11157662,0.095
2116,1439492,20943485,0.069
2704,2111246,8031460,0.26
3481,1198489,2344832,0.51
4489,705954,1960285,0.36
5776,928632,3985824,0.23
7396,1286439,3157073,0.41
9604,1554755,5496583,0.28
12544,2453931,6120045,0.40
16384,3978513,7608156,0.52
21316,5382252,9561047,0.56
27556,25706840,14562195,1.8
35721,77618478,20939832,3.7
