size,sruntime,pruntime,speedup
49,143833,2917730,0.049
64,53977,616575,0.088
81,75256,1052047,0.072
100,72254,1355572,0.053
121,116676,1534830,0.076
144,124893,4760755,0.026
169,159950,1541736,0.10
196,168608,1744526,0.097
256,250121,1936324,0.13
324,378459,1826781,0.21
400,504855,1933711,0.26
484,640316,1675537,0.38
625,992050,1999110,0.50
784,852532,5428909,0.16
1024,516718,3619216,0.14
1296,715140,14998442,0.048
1681,1071017,3264571,0.33
2116,1484583,2484549,0.60
2704,2187827,5991642,0.37
3481,1039193,5875072,0.18
4489,678590,6644107,0.10
5776,948291,3433372,0.28
7396,1302445,10918905,0.12
9604,1568281,10681999,0.15
12544,2428738,4327432,0.56
16384,3584540,5865622,0.61
21316,5056909,5903242,0.86
27556,8260945,8881073,0.93
35721,11493395,11172004,1.0
