size,sruntime,pruntime,speedup
49,187124,3682587,0.051
64,65663,588509,0.11
81,232317,730514,0.32
100,105787,1211777,0.087
121,150251,703135,0.21
144,178447,437125,0.41
169,227089,632363,0.36
196,250563,1089897,0.23
256,310782,642842,0.48
324,383503,549312,0.70
400,516836,686907,0.75
484,623355,1175032,0.53
625,1006793,3622224,0.28
784,967367,4525297,0.21
1024,592847,2541687,0.23
1296,716261,4986036,0.14
1681,1047383,5808697,0.18
2116,1439739,8929017,0.16
2704,2077961,3347908,0.62
3481,1060689,2619011,0.40
4489,677959,849708,0.80
5776,956743,949298,1.0
7396,1300814,2154167,0.60
9604,1573581,2910314,0.54
12544,2295916,1540592,1.5
16384,3581288,3520557,1.0
21316,5066946,3065127,1.7
27556,7197398,6140301,1.2
35721,11228121,8042027,1.4
