size,runtime[nanos]
49,22819898
64,484091
81,757794
100,373389
121,530310
144,908375
169,500861
196,652370
256,370120
324,516994
400,722780
484,1925570
625,4066027
784,4937554
1024,6883036
1296,2730368
1681,4300928
2116,6381611
2704,5338968
3481,4758973
4489,3052783
5776,1107353
7396,1340786
9604,1428668
12544,1474442
16384,1958715
21316,3696081
27556,5657387
35721,8340086
