size,sruntime,pruntime,speedup
49,166300,708392,0.23
64,53946,238893,0.23
81,53982,191614,0.28
100,71627,262328,0.27
121,114399,275958,0.41
144,416021,198243,2.1
169,615482,670083,0.92
196,479124,978385,0.49
256,249998,697029,0.36
324,392112,451536,0.87
400,511140,512497,1.0
484,640060,1581593,0.40
625,975714,1148245,0.85
784,934205,1214034,0.77
1024,570695,1521776,0.38
1296,714504,4851205,0.15
1681,1043565,7500139,0.14
2116,1463626,9089495,0.16
2704,2073827,8148018,0.25
3481,1036943,5085244,0.20
4489,676077,1030009,0.66
5776,948288,1657179,0.57
7396,1315066,1927984,0.68
9604,1548452,2635910,0.59
12544,2313225,3127029,0.74
16384,3577942,4259105,0.84
21316,4940086,4945327,1.0
27556,10321755,6857913,1.5
35721,11571652,10178895,1.1
