size,sruntime,pruntime,speedup
49,148342,2681537,0.055
64,55999,504684,0.11
81,167091,908835,0.18
100,75247,558009,0.13
121,133741,896541,0.15
144,130788,854001,0.15
169,170971,493699,0.35
196,168720,811815,0.21
256,250084,759694,0.33
324,391117,514452,0.76
400,484267,676822,0.72
484,638131,1120052,0.57
625,992871,1106081,0.90
784,948734,2214503,0.43
1024,576552,9731529,0.059
1296,714649,7112773,0.10
1681,1042955,7548910,0.14
2116,1441125,6149809,0.23
2704,2105838,3114450,0.68
3481,1060366,2339135,0.45
4489,676255,4691266,0.14
5776,930133,921060,1.0
7396,1283799,4549493,0.28
9604,1556876,1300690,1.2
12544,2298698,1838432,1.3
16384,3585842,2455492,1.5
21316,4923823,3637379,1.4
27556,8181928,8795963,0.93
35721,11370226,8110731,1.4
