size,sruntime,pruntime,speedup
49,172674,2692305,0.064
64,63024,778312,0.081
81,76081,1059319,0.072
100,102107,1038623,0.098
121,144960,678864,0.21
144,171442,6876021,0.025
169,214956,1284837,0.17
196,240302,975757,0.25
256,251497,836771,0.30
324,395551,936803,0.42
400,496585,1000752,0.50
484,651970,1004487,0.65
625,978624,1040131,0.94
784,1060353,5924050,0.18
1024,580874,2167701,0.27
1296,726900,3314812,0.22
1681,1032833,5961619,0.17
2116,1460079,8581382,0.17
2704,2074383,11719592,0.18
3481,1068057,8947426,0.12
4489,694444,1267540,0.55
5776,927816,1180172,0.79
7396,1287579,1063127,1.2
9604,1556048,1411135,1.1
12544,2439357,2257382,1.1
16384,3591611,2579488,1.4
21316,5176706,3807814,1.4
27556,7326194,3846641,1.9
35721,11330663,5933943,1.9
