size,sruntime,pruntime,speedup
49,166477,2013113,0.083
64,55444,167388,0.33
81,66299,119094,0.56
100,75454,104917,0.72
121,128114,131979,0.97
144,140314,123512,1.1
169,168414,185649,0.91
196,168579,186510,0.90
256,251076,383477,0.65
324,392103,219976,1.8
400,484898,299624,1.6
484,646156,404074,1.6
625,953634,449512,2.1
784,891872,577374,1.5
1024,564447,802301,0.70
1296,724143,1050134,0.69
1681,1043719,6062214,0.17
2116,1439977,9922177,0.15
2704,2082348,8412209,0.25
3481,1056448,5050039,0.21
4489,702087,2259533,0.31
5776,927372,512322,1.8
7396,1285669,586166,2.2
9604,1548143,996795,1.6
12544,2295364,1432381,1.6
16384,3588195,1826371,2.0
21316,4909275,2555204,1.9
27556,7271221,4461979,1.6
35721,11701187,8689799,1.3
