size,sruntime,pruntime,speedup
49,168669,3181440,0.053
64,52627,389346,0.14
81,182824,680518,0.27
100,71265,748172,0.095
121,113947,749777,0.15
144,124330,459377,0.27
169,158471,456737,0.35
196,168167,549936,0.31
256,251102,1077788,0.23
324,391938,642448,0.61
400,500314,1553343,0.32
484,656218,2766731,0.24
625,970851,1083058,0.90
784,849818,1320901,0.64
1024,566746,2038820,0.28
1296,728347,11671765,0.062
1681,1054898,6505164,0.16
2116,1484110,8216514,0.18
2704,2138071,605892,3.5
3481,1177593,577786,2.0
4489,758387,862670,0.88
5776,958750,771744,1.2
7396,1316610,723426,1.8
9604,1565634,1914469,0.82
12544,2371560,1130410,2.1
16384,3586723,2708299,1.3
21316,5082748,3211881,1.6
27556,8227331,4266105,1.9
35721,12569948,3404442,3.7
