size,sruntime,pruntime,speedup
49,164284,2599172,0.063
64,54551,352351,0.15
81,183984,860946,0.21
100,71994,449044,0.16
121,115012,516262,0.22
144,125055,235380,0.53
169,153532,912753,0.17
196,169506,358364,0.47
256,250609,789449,0.32
324,374097,358690,1.0
400,485075,426063,1.1
484,640618,544647,1.2
625,998969,683425,1.5
784,934145,876725,1.1
1024,564588,1230383,0.46
1296,715304,1495693,0.48
1681,1045017,5928166,0.18
2116,1453661,9365672,0.16
2704,2078817,10336404,0.20
3481,1053663,625457,1.7
4489,674489,502009,1.3
5776,928333,571509,1.6
7396,1271139,992140,1.3
9604,1553052,945169,1.6
12544,2304652,1049220,2.2
16384,3597180,1434449,2.5
21316,4887418,4334607,1.1
27556,7180045,6504289,1.1
35721,12359203,6310691,2.0
