size,sruntime,pruntime,speedup
49,166415,2954437,0.056
64,55047,809381,0.068
81,65371,588648,0.11
100,72944,936848,0.078
121,116154,1026413,0.11
144,126743,681069,0.19
169,159148,1176445,0.14
196,169756,633723,0.27
256,250928,1144955,0.22
324,395509,930189,0.43
400,491774,1035872,0.47
484,655694,5057672,0.13
625,991018,1534349,0.65
784,905762,1527605,0.59
1024,566087,2066541,0.27
1296,731209,6518821,0.11
1681,1042509,6582109,0.16
2116,1439533,8262952,0.17
2704,2080975,2027767,1.0
3481,1062311,3163667,0.34
4489,709479,579449,1.2
5776,928853,556524,1.7
7396,1286850,1770087,0.73
9604,1552351,956263,1.6
12544,2290444,2457382,0.93
16384,3587547,2736564,1.3
21316,5059523,2931336,1.7
27556,7172043,4005240,1.8
35721,11891279,7896988,1.5
