size,sruntime,pruntime,speedup
49,144376,2995060,0.048
64,55721,579465,0.096
81,192074,671567,0.29
100,75324,507638,0.15
121,120423,840703,0.14
144,130791,2166461,0.060
169,164000,1230170,0.13
196,167532,624875,0.27
256,249637,1994974,0.13
324,365969,1340485,0.27
400,518380,2446140,0.21
484,671476,2045131,0.33
625,1005564,761013,1.3
784,858016,1069341,0.80
1024,552712,1113665,0.50
1296,730008,7820861,0.093
1681,1053252,5985894,0.18
2116,1483732,7705058,0.19
2704,2150677,7536335,0.29
3481,1813240,1889816,0.96
4489,696700,716701,0.97
5776,957078,2908095,0.33
7396,1318250,2024449,0.65
9604,1507354,1713474,0.88
12544,2307079,2470325,0.93
16384,3547165,3025830,1.2
21316,5157303,4119555,1.3
27556,8529364,7922292,1.1
35721,11695353,10732498,1.1
