size,sruntime,pruntime,speedup
49,166525,3125246,0.053
64,59431,1049883,0.057
81,104250,1698670,0.061
100,75627,2095955,0.036
121,155265,4063494,0.038
144,206387,5530839,0.037
169,145216,481150,0.30
196,168066,406141,0.41
256,248766,433086,0.57
324,405712,435445,0.93
400,483742,718775,0.67
484,640277,697110,0.92
625,1506392,970457,1.6
784,922750,1470042,0.63
1024,577533,1948614,0.30
1296,722132,7415520,0.097
1681,1052153,4119638,0.26
2116,1493780,5431678,0.28
2704,2141269,1854880,1.2
3481,1419375,663222,2.1
4489,1320242,1511958,0.87
5776,1763911,2045724,0.86
7396,1740797,851367,2.0
9604,1550892,1042901,1.5
12544,2365979,1695132,1.4
16384,3649342,2752746,1.3
21316,5055360,4099910,1.2
27556,7573660,5588062,1.4
35721,11718247,9856228,1.2
