size,sruntime,pruntime,speedup
49,141442,2655355,0.053
64,55176,637370,0.087
81,56051,628134,0.089
100,75168,947950,0.079
121,120392,855442,0.14
144,131211,514222,0.26
169,165884,495093,0.34
196,178297,829116,0.22
256,270024,1252172,0.22
324,374150,639238,0.59
400,530947,673813,0.79
484,674288,1301787,0.52
625,1010600,2704914,0.37
784,1004243,2088305,0.48
1024,560574,3099919,0.18
1296,757682,5583319,0.14
1681,1069479,7410890,0.14
2116,1604714,11327263,0.14
2704,2081155,5033074,0.41
3481,1563248,930740,1.7
4489,677103,924220,0.73
5776,957000,455395,2.1
7396,1298735,547002,2.4
9604,1560509,715980,2.2
12544,2312521,1005175,2.3
16384,3597528,2786800,1.3
21316,5085462,4683376,1.1
27556,7577508,7354969,1.0
35721,12413374,7079029,1.8
