size,sruntime,pruntime,speedup
49,167119,2882060,0.058
64,54055,367087,0.15
81,75296,638504,0.12
100,84010,682657,0.12
121,130301,711483,0.18
144,146640,949064,0.15
169,158866,924845,0.17
196,167927,1003215,0.17
256,259655,1260742,0.21
324,364808,692878,0.53
400,484150,6012929,0.081
484,639437,1459800,0.44
625,976300,1375180,0.71
784,995266,1877147,0.53
1024,583377,2344861,0.25
1296,715241,9486735,0.075
1681,1044085,6986417,0.15
2116,1443012,8566874,0.17
2704,2074093,7583657,0.27
3481,1041635,652552,1.6
4489,676238,2139551,0.32
5776,927380,1466399,0.63
7396,1270502,1059854,1.2
9604,1547914,1403300,1.1
12544,2309621,2284131,1.0
16384,3567284,3735423,0.95
21316,4942311,4851702,1.0
27556,7238812,7440974,0.97
35721,15252481,11122249,1.4
