size,sruntime,pruntime,speedup
49,135123,3001930,0.045
64,44258,1052880,0.042
81,55759,1103116,0.051
100,74141,1260989,0.059
121,105518,1646236,0.064
144,156539,3022967,0.052
169,153959,555296,0.28
196,173156,469069,0.37
256,259580,536443,0.48
324,365275,561613,0.65
400,514549,589399,0.87
484,659129,731872,0.90
625,971255,1419570,0.68
784,844903,1355223,0.62
1024,516449,2168101,0.24
1296,715283,3021876,0.24
1681,1053134,6279738,0.17
2116,1485576,11198636,0.13
2704,2138142,841166,2.5
3481,1044112,820872,1.3
4489,695109,913449,0.76
5776,955702,1079796,0.89
7396,1716310,1500699,1.1
9604,1588002,6153038,0.26
12544,2363767,3802652,0.62
16384,3582280,3201727,1.1
21316,5065544,5480422,0.92
27556,7351516,8780120,0.84
35721,13179282,7228954,1.8
