size,sruntime,pruntime,speedup
49,143908,2822265,0.051
64,44733,378497,0.12
81,54950,678186,0.081
100,73558,784534,0.094
121,116154,628348,0.18
144,124237,438773,0.28
169,159877,811472,0.20
196,168405,953059,0.18
256,250442,612286,0.41
324,364900,754281,0.48
400,511845,1103922,0.46
484,639713,5207077,0.12
625,971277,1275404,0.76
784,860366,1796386,0.48
1024,568813,2508912,0.23
1296,721859,5325506,0.14
1681,1052691,6101126,0.17
2116,1497603,8647669,0.17
2704,2137904,5109741,0.42
3481,1163462,1954959,0.60
4489,698957,453803,1.5
5776,955481,612767,1.6
7396,1323059,1350943,0.98
9604,1551005,1183426,1.3
12544,2418804,2016865,1.2
16384,3686968,1209749,3.0
21316,5184140,2670789,1.9
27556,7603886,3879447,2.0
35721,11943940,6375418,1.9
