size,sruntime,pruntime,speedup
49,143911,784255,0.18
64,55294,179339,0.31
81,56771,201013,0.28
100,75300,234306,0.32
121,119028,354219,0.34
144,376702,282735,1.3
169,618083,316125,2.0
196,167435,376592,0.44
256,251908,478379,0.53
324,373274,405979,0.92
400,486357,501387,0.97
484,640991,608038,1.1
625,954444,1090475,0.88
784,957208,1618201,0.59
1024,571083,1954227,0.29
1296,714862,5303487,0.13
1681,1043335,8420709,0.12
2116,1467172,9209959,0.16
2704,2074676,3810372,0.54
3481,1050952,3368905,0.31
4489,694683,4129648,0.17
5776,928534,3435010,0.27
7396,1284775,1719899,0.75
9604,1549821,1116176,1.4
12544,2309965,1578621,1.5
16384,3578444,2734291,1.3
21316,4944395,4959015,1.0
27556,11787831,6540985,1.8
35721,11639730,7694006,1.5
