size,sruntime,pruntime,speedup
49,152023,2834297,0.054
64,55417,379134,0.15
81,67266,602942,0.11
100,75156,937776,0.080
121,118682,2480930,0.048
144,130262,3010925,0.043
169,160403,1429726,0.11
196,169650,2204935,0.077
256,251397,2140632,0.12
324,369286,882315,0.42
400,499934,907116,0.55
484,644253,1380898,0.47
625,976435,1437525,0.68
784,949886,1302819,0.73
1024,590844,9539210,0.062
1296,733673,4048031,0.18
1681,1043006,5818488,0.18
2116,1443182,8976733,0.16
2704,2074188,4053042,0.51
3481,1064910,2755347,0.39
4489,678328,634552,1.1
5776,928438,793516,1.2
7396,1315423,1773692,0.74
9604,1559963,1296810,1.2
12544,2331911,1762720,1.3
16384,3581522,2555008,1.4
21316,5061288,3416531,1.5
27556,10028807,6351523,1.6
35721,11880738,10906906,1.1
