size,sruntime,pruntime,speedup
49,166561,2531293,0.066
64,53326,608372,0.088
81,188007,624003,0.30
100,71886,783573,0.092
121,114358,760044,0.15
144,124611,853785,0.15
169,160498,715095,0.22
196,169026,420102,0.40
256,250101,717405,0.35
324,394112,679551,0.58
400,486137,747002,0.65
484,650385,958643,0.68
625,972350,1220993,0.80
784,904102,1523233,0.59
1024,563777,6909372,0.082
1296,721426,4433294,0.16
1681,1047518,6177642,0.17
2116,1443925,8431852,0.17
2704,2075285,2109738,0.98
3481,1038246,1902796,0.55
4489,676111,502604,1.3
5776,928883,1194090,0.78
7396,1323247,647474,2.0
9604,1550372,853120,1.8
12544,2306390,1251199,1.8
16384,3591272,2054158,1.7
21316,5034693,2934348,1.7
27556,7397101,6320340,1.2
35721,11680082,13440124,0.87
