size,sruntime,pruntime,speedup
49,182126,4654635,0.039
64,67401,781856,0.086
81,92712,621658,0.15
100,110312,777555,0.14
121,224159,1073006,0.21
144,209388,685880,0.31
169,210182,1242511,0.17
196,250845,857738,0.29
256,402156,1660731,0.24
324,543023,1603663,0.34
400,731233,825389,0.89
484,936813,2185391,0.43
625,1459468,2908818,0.50
784,1307857,1544663,0.85
1024,895254,1730352,0.52
1296,1325509,4586733,0.29
1681,1980003,6130041,0.32
2116,2755700,7988316,0.34
2704,811119,6796836,0.12
3481,903718,1399355,0.65
4489,1289168,3232127,0.40
5776,1646036,2304513,0.71
7396,1056494,2771517,0.38
9604,1504756,1319005,1.1
12544,2297785,7625473,0.30
16384,3542222,6700106,0.53
21316,8293404,7755678,1.1
27556,7410490,10135057,0.73
35721,11438986,12201518,0.94
