size,sruntime,pruntime,speedup
49,164261,2521448,0.065
64,55388,797157,0.069
81,56181,397260,0.14
100,74983,1034274,0.072
121,128497,1615715,0.080
144,139033,245129,0.57
169,169900,482669,0.35
196,168252,1115376,0.15
256,249636,718993,0.35
324,393244,2146995,0.18
400,485384,892119,0.54
484,639053,1521694,0.42
625,987684,1734299,0.57
784,899861,3550693,0.25
1024,573513,2044711,0.28
1296,714887,8605272,0.083
1681,1050605,7025115,0.15
2116,1459470,9637486,0.15
2704,2097883,5613653,0.37
3481,1036390,1677097,0.62
4489,676239,2242792,0.30
5776,929121,889651,1.0
7396,1285031,2076678,0.62
9604,1559559,3775156,0.41
12544,2293997,2637179,0.87
16384,3603337,2696247,1.3
21316,5001804,3737523,1.3
27556,7304542,7784683,0.94
35721,16006529,8362066,1.9
