size,sruntime,pruntime,speedup
49,155416,3290888,0.047
64,66082,935370,0.071
81,106149,827667,0.13
100,165759,781015,0.21
121,124802,1188034,0.11
144,124412,1137999,0.11
169,165906,987057,0.17
196,168766,679236,0.25
256,271652,1486348,0.18
324,489595,896582,0.55
400,540007,2178974,0.25
484,752778,2254634,0.33
625,1075438,3959219,0.27
784,1249501,6920636,0.18
1024,600363,2028546,0.30
1296,923342,4785748,0.19
1681,1271726,6596263,0.19
2116,1487267,7431546,0.20
2704,2139956,2800150,0.76
3481,5704203,1845303,3.1
4489,2222092,1008811,2.2
5776,950079,684475,1.4
7396,1370091,721104,1.9
9604,1616130,895445,1.8
12544,2343191,1687255,1.4
16384,3610535,1922340,1.9
21316,4963219,5417744,0.92
27556,7568754,5646846,1.3
35721,11648040,8116374,1.4
