size,sruntime,pruntime,speedup
49,156444,2955158,0.053
64,44721,485396,0.092
81,55228,999906,0.055
100,72181,632255,0.11
121,114918,956875,0.12
144,123953,489655,0.25
169,171861,973668,0.18
196,169614,1012542,0.17
256,261645,1411459,0.19
324,368935,758068,0.49
400,488728,1202322,0.41
484,651721,3309855,0.20
625,1271412,1756176,0.72
784,921155,9472076,0.097
1024,570848,3484904,0.16
1296,715781,5427031,0.13
1681,1049589,4696075,0.22
2116,1438461,6132634,0.23
2704,2076907,7425912,0.28
3481,1058814,3738967,0.28
4489,701021,3068303,0.23
5776,956486,799649,1.2
7396,1308853,1165003,1.1
9604,1803546,1761650,1.0
12544,2384392,1841611,1.3
16384,3642577,2303796,1.6
21316,5077877,3000699,1.7
27556,7152746,6857138,1.0
35721,11895578,5099896,2.3
