size,runtime[nanos]
49,144215
64,61064
81,54938
100,72169
121,119086
144,124418
169,174674
196,169327
256,263416
324,369422
400,506332
484,685952
625,995644
784,960912
1024,655036
1296,724164
1681,1042180
2116,1449963
2704,2164583
3481,1482272
4489,713510
5776,954902
7396,1338459
9604,2451693
12544,2312836
16384,3639953
21316,5054284
27556,7398463
35721,12303735
