size,runtime[nanos]
49,2867116
64,669474
81,639206
100,530601
121,552200
144,959409
169,709061
196,835377
256,2268947
324,1613751
400,3777058
484,1144905
625,1536888
784,6838907
1024,3160744
1296,7480478
1681,10373401
2116,7784838
2704,2381188
3481,2613416
4489,591455
5776,614063
7396,1001381
9604,927255
12544,2497448
16384,2336110
21316,4768248
27556,6194398
35721,6356995
