size,sruntime,pruntime,speedup
49,142764,2990214,0.048
64,53398,971989,0.055
81,55025,418100,0.13
100,71264,509881,0.14
121,125375,929521,0.13
144,124352,548825,0.23
169,169171,1143609,0.15
196,168131,634986,0.26
256,321883,1198396,0.27
324,365842,736064,0.50
400,496115,1815246,0.27
484,663786,1488321,0.45
625,969365,4761836,0.20
784,909442,3238264,0.28
1024,609548,2906248,0.21
1296,723401,6210884,0.12
1681,1042858,9554103,0.11
2116,1439584,8713782,0.17
2704,2073317,5616553,0.37
3481,1108275,2628127,0.42
4489,688003,713564,0.96
5776,926436,1152890,0.80
7396,1337169,977115,1.4
9604,1758787,2599969,0.68
12544,2346454,2132943,1.1
16384,3689545,2832450,1.3
21316,5012671,2966094,1.7
27556,7197459,2660004,2.7
35721,11976741,4339334,2.8
